成品名	来源	原始文件名/URL	是否裁切	裁切区域	状态	备注
寺院风貌-03	多智钦寺相册	DM_20250826082346_035.jpg	-	ok	是	配文保守统一「寺院风貌」，逐张精名待小谦实地校订
寺院风貌-04	多智钦寺相册	DM_20250826082345_009.jpg	-	ok	是	配文保守统一「寺院风貌」，逐张精名待小谦实地校订
寺院风貌-05	多智钦寺相册	DM_20250826082345_014.jpg	-	ok	是	配文保守统一「寺院风貌」，逐张精名待小谦实地校订
寺院风貌-06	多智钦寺相册	DM_20250826082345_015.jpg	-	ok	是	配文保守统一「寺院风貌」，逐张精名待小谦实地校订
寺院风貌-07	多智钦寺相册	DM_20250826082345_017.jpg	-	ok	是	配文保守统一「寺院风貌」，逐张精名待小谦实地校订
寺院风貌-08	多智钦寺相册	DM_20250826082345_020.jpg	-	ok	是	配文保守统一「寺院风貌」，逐张精名待小谦实地校订
寺院风貌-09	多智钦寺相册	DM_20250826082345_016.jpg	-	ok	是	配文保守统一「寺院风貌」，逐张精名待小谦实地校订
寺院风貌-10	多智钦寺相册	DM_20250826082146_006.png	L96 T0 R0 B0	ok	是	配文保守统一「寺院风貌」，逐张精名待小谦实地校订
上师尊容-48	多智钦寺相册	DM_20250826082146_006.png	-	ok	是	原误分为「寺院风貌-10」，2026-09-18 经小谦确认改归「上师尊容」（同一文件 MD5 219e2eee，930×582 横构图）
上师尊容-17	（去重）	同 上师尊容-06（mmexport1756365650725.jpg 同图同源）	-	merged	是	2026-09-19 批次3 去重：保留低序号 -06，删除本件（我批入库时漏对照 WorkBuddy 已入库同源，尺寸判重未含 md5 对比）
上师尊容-18	（去重）	同 上师尊容-11（DM_20250826082253_002）	-	merged	是	同上；保留 -11
上师尊容-21	（去重）	同 上师尊容-05（mmexport1756365647449）	-	merged	是	同上
寺院风貌-01	（去重）	同 历代祖师-01（多智钦寺官网 sketch_map＝法脉传承图）	-	merged	是	本件非寺院建筑照，属我分类错误；保留历代祖师-01
寺院风貌-08	（去重）	同 圣像法物-04（官网 20_shelita＝舍利塔照）	-	merged	是	同上，保留圣像法物-04
